SNO,INSTCODE,NAME OF THE INSTITUTION,TYPE,INST_REG,new_dist,PLACE,COED,AFFL.,ESTD,A_REG,branch_code,OC_BOYS,OC_GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,BCA_BOYS,BCA_GIRLS,BCB_BOYS,BCB_GIRLS,BCC_BOYS,BCC_GIRLS,BCD_BOYS,BCD_GIRLS,BCE_BOYS,BCE_GIRLS,OC_EWS_BOYS,OC_EWS_GIRLS
1,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,Kakinada,GOLLAPROLU,COED,JNTUK,2008,AU,CIV,146103,146103,175237,175237,168197,168197,146103,146103,146103,146103,146103,146103,146103,146103,146103,146103,149905,154179
2,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,Kakinada,GOLLAPROLU,COED,JNTUK,2008,AU,CSE,128861,128861,176504,177370,157250,157250,161249,172486,163789,163789,128861,128861,176374,177195,167062,167062,173286,136779
3,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,Kakinada,GOLLAPROLU,COED,JNTUK,2008,AU,ECE,161894,161894,174884,177676,161894,161894,161894,161894,161894,169552,161894,161894,161894,161894,161894,161894,113560,118267
4,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,Kakinada,GOLLAPROLU,COED,JNTUK,2008,AU,EEE,119213,150417,164975,164975,147286,150417,150903,150417,148712,150417,119408,150417,150054,150417,135365,150417,127584,142877
5,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,Kakinada,GOLLAPROLU,COED,JNTUK,2008,AU,MEC,152545,152545,154902,154902,152545,157155,152545,152545,152545,152545,152545,152545,156064,156064,152545,152545,166550,162655
6,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2004,AU,CIV,71458,71458,165515,175777,108103,121894,121512,175154,103308,173293,71458,121793,96634,96634,71458,71458,81009,81067
7,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2004,AU,CSD,38871,38871,140467,160622,151805,156024,71005,71005,64627,66698,38871,38871,49803,56411,150056,150056,38653,41848
8,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2004,AU,CSE,25298,25298,96256,134974,162100,162100,52238,52238,43130,43130,92163,103952,36237,36237,135949,135949,30016,28767
9,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2004,AU,CSM,32023,32023,155838,173032,151318,165275,62296,71996,59902,64713,116275,116275,50679,50679,144644,144644,36444,35619
10,ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,PVT,AU,Kakinada,PEDDAPURAM,COED,JNTUK,2004,AU,ECE,42426,45361,152577,171399,172849,172849,90140,90140,66335,75200,67761,99432,61898,61898,130991,163207,46455,46867
